Zeit,Normalkraft
10.47,19.67102242
10.4702,19.640522
10.4704,19.67102242
10.4706,19.76251984
10.4708,19.640522
10.471,19.54902458
10.4712,19.76251984
10.4714,19.76251984
10.4716,19.6100235
10.4718,19.6100235
10.472,19.73202133
10.4722,19.76251984
10.4724,19.6100235
10.4726,19.67102242
10.4728,19.76251984
10.473,19.640522
10.4732,19.70152092
10.4734,19.73202133
10.4736,19.73202133
10.4738,19.67102242
10.474,19.640522
10.4742,19.70152092
10.4744,19.70152092
10.4746,19.6100235
10.4748,19.67102242
10.475,19.67102242
10.4752,19.76251984
10.4754,19.640522
10.4756,19.76251984
10.4758,19.6100235
10.476,19.6100235
10.4762,19.79301834
10.4764,19.70152092
10.4766,19.70152092
10.4768,19.640522
10.477,19.57952309
10.4772,19.640522
10.4774,19.70152092
10.4776,19.57952309
10.4778,19.67102242
10.478,19.73202133
10.4782,19.70152092
10.4784,19.57952309
10.4786,19.70152092
10.4788,19.640522
10.479,19.640522
10.4792,19.57952309
10.4794,19.67102242
10.4796,19.70152092
10.4798,19.6100235
10.48,19.640522
10.4802,19.79301834
10.4804,19.6100235
10.4806,19.6100235
10.4808,19.70152092
10.481,19.640522
10.4812,19.70152092
10.4814,19.57952309
10.4816,19.54902458
10.4818,19.640522
10.482,19.6100235
10.4822,19.76251984
10.4824,19.67102242
10.4826,19.67102242
10.4828,19.6100235
10.483,19.70152092
10.4832,19.79301834
10.4834,19.51852608
10.4836,19.54902458
10.4838,19.70152092
10.484,19.640522
10.4842,19.640522
10.4844,19.640522
10.4846,19.640522
10.4848,19.640522
10.485,19.640522
10.4852,19.54902458
10.4854,19.73202133
10.4856,19.57952309
10.4858,19.54902458
10.486,19.70152092
10.4862,19.640522
10.4864,19.57952309
10.4866,19.67102242
10.4868,19.70152092
10.487,19.6100235
10.4872,19.54902458
10.4874,19.67102242
10.4876,19.67102242
10.4878,19.640522
10.488,19.57952309
10.4882,19.67102242
10.4884,19.70152092
10.4886,19.6100235
10.4888,19.6100235
10.489,19.70152092
10.4892,19.6100235
10.4894,19.640522
10.4896,19.67102242
10.4898,19.640522
10.49,19.640522
10.4902,19.54902458
10.4904,19.67102242
10.4906,19.73202133
10.4908,19.6100235
10.491,19.54902458
10.4912,19.57952309
10.4914,19.70152092
10.4916,19.640522
10.4918,19.70152092
10.492,19.73202133
10.4922,19.67102242
10.4924,19.6100235
10.4926,19.640522
10.4928,19.70152092
10.493,19.57952309
10.4932,19.6100235
10.4934,19.67102242
10.4936,19.73202133
10.4938,19.640522
10.494,19.6100235
10.4942,19.70152092
10.4944,19.67102242
10.4946,19.57952309
10.4948,19.67102242
10.495,19.79301834
10.4952,19.70152092
10.4954,19.6100235
10.4956,19.67102242
10.4958,19.67102242
10.496,19.6100235
10.4962,19.48802567
10.4964,19.73202133
10.4966,19.70152092
10.4968,19.54902458
10.497,19.6100235
10.4972,19.67102242
10.4974,19.51852608
10.4976,19.640522
10.4978,19.67102242
10.498,19.640522
10.4982,19.640522
10.4984,19.640522
10.4986,19.640522
10.4988,19.73202133
10.499,19.6100235
10.4992,19.76251984
10.4994,19.70152092
10.4996,19.6100235
10.4998,19.640522
10.5,19.70152092
10.5002,19.70152092
10.5004,19.54902458
10.5006,19.640522
10.5008,19.67102242
10.501,19.79301834
10.5012,19.640522
10.5014,19.67102242
10.5016,19.70152092
10.5018,19.67102242
10.502,19.51852608
10.5022,19.76251984
10.5024,19.67102242
10.5026,19.6100235
10.5028,19.6100235
10.503,19.67102242
10.5032,19.79301834
10.5034,19.57952309
10.5036,19.6100235
10.5038,19.76251984
10.504,19.67102242
10.5042,19.79301834
10.5044,19.67102242
10.5046,19.70152092
10.5048,19.6100235
10.505,19.54902458
10.5052,19.62527275
10.5054,19.70152092
10.5056,19.57952309
10.5058,19.640522
10.506,19.76251984
10.5062,19.67102242
10.5064,19.6100235
10.5066,19.67102242
10.5068,19.640522
10.507,19.6100235
10.5072,19.64052296
10.5074,19.67102242
10.5076,19.70152092
10.5078,19.640522
10.508,19.57952309
10.5082,19.61002254
10.5084,19.640522
10.5086,19.640522
10.5088,19.67102242
10.509,19.67102242
10.5092,19.640522
10.5094,19.57952309
10.5096,19.640522
10.5098,19.70152092
10.51,19.57952309
10.5102,19.54902458
10.5104,19.70152092
10.5106,19.67102242
10.5108,19.51852608
10.511,19.54902458
10.5112,19.54902458
10.5114,19.6100235
10.5116,19.57952309
10.5118,19.640522
10.512,19.640522
10.5122,19.59477329
10.5124,19.54902458
10.5126,19.640522
10.5128,19.67102242
10.513,19.57952309
10.5132,19.61002254
10.5134,19.640522
10.5136,19.54902458
10.5138,19.57952309
10.514,19.67102242
10.5142,19.54902458
10.5144,19.57952309
